,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
85572,43385,Katarzyna Grzybowska-Franc,F,27.0,170.0,59.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,
85621,43402,Karoline Bjerkeli Grvdal,F,26.0,167.0,52.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",
85622,43402,Karoline Bjerkeli Grvdal,F,26.0,167.0,52.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",
85626,43405,Selina Gschwandtner,F,22.0,166.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",
85645,43412,Gu Bon-Gil,M,27.0,182.0,70.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",
85665,43429,Gu Sung-Yun,M,22.0,195.0,82.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
85666,43430,Gu Xiao,F,23.0,174.0,60.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
85670,43432,Gu Xuesong,M,23.0,178.0,76.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,
85671,43432,Gu Xuesong,M,23.0,178.0,76.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Team,
85674,43434,Gu Yasha,F,25.0,165.0,60.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
85683,43442,Ageze Guadie,M,26.0,175.0,56.0,Israel,ISR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,
85689,43446,Bayron Patricio Guama de la Cruz,M,31.0,165.0,61.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",
85690,43447,Maritza Guamn,F,28.0,155.0,47.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,
85731,43470,Megan Guarnier,F,31.0,163.0,54.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
85752,43480,Paulina Guba,F,25.0,183.0,104.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,
85756,43483,Gulnaz Radikovna Gubaydullina,F,24.0,164.0,51.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,
85758,43485,Chelsea Lea Gubecka,F,17.0,162.0,62.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,
85779,43497,"Christopher Luke ""Chris"" Guccione",M,31.0,200.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Doubles,
85816,43512,"Tatiana ""Tania"" Guderzo",F,31.0,160.0,55.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
85817,43512,"Tatiana ""Tania"" Guderzo",F,31.0,160.0,55.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,
85834,43523,Andrius Gudius,M,25.0,200.0,130.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,
85855,43535,Floria Guei,F,26.0,166.0,53.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,
85856,43535,Floria Guei,F,26.0,166.0,53.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,
85906,43558,Steve Guerdat,M,34.0,182.0,70.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",
85907,43558,Steve Guerdat,M,34.0,182.0,70.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",
85917,43564,Lina Gurin,F,25.0,175.0,64.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
85929,43570,Evandro Motta Guerra,M,34.0,207.0,106.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
85932,43573,Carlos Fernando Guerra Arias,M,35.0,196.0,95.0,Mexico,MEX,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,
85956,43583,Lisandra Guerra Rodriguez,F,28.0,167.0,69.0,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Sprint,
85957,43583,Lisandra Guerra Rodriguez,F,28.0,167.0,69.0,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Keirin,
85984,43596,Bernardo Guerrero Daz,M,30.0,190.0,75.0,Chile,CHI,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,
85988,43600,Esther Guerrero Puigdevall,F,26.0,168.0,60.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,
85996,43606,Osleini Guerrero Velasco,M,26.0,189.0,88.0,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Singles,
86019,43619,Jrme Gury,M,36.0,184.0,69.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",
86026,43625,"Matthew ""Matt"" Guest",M,31.0,190.0,90.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,
86121,43668,Isabel Evelize Wangimba Guialo,F,36.0,168.0,73.0,Angola,ANG,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,
86126,43673,Ecaterina Antonia Guica,F,22.0,165.0,52.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,
86140,43682,Ivan Guidea,M,28.0,163.0,60.0,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Freestyle",
86144,43684,Guilherme Augusto Guido,M,29.0,194.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,
86145,43684,Guilherme Augusto Guido,M,29.0,194.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
86197,43692,Martina Guiggi,F,32.0,187.0,80.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
86198,43693,lodie Guiglion,F,26.0,166.0,63.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
86211,43698,Michal Yves Robert Guigou,M,34.0,179.0,79.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
86250,43719,Heissler Rafael Guillnt Ecker,M,29.0,183.0,79.0,Venezuela,VEN,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,
86305,43740,Gustavo de Freitas Guimares,M,22.0,180.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,
86314,43746,Oswaldo dos Santos Guimares,M,26.0,183.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,
86328,43757,Cristina Guinea Gonzlez,F,24.0,166.0,61.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
86375,43786,Bora Gulari,M,40.0,180.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,
86408,43807,Rabia Glec,F,22.0,175.0,62.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Welterweight,
86409,43808,Tahir Glec,M,23.0,191.0,82.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Welterweight,
86423,43817,Ramil Guliyev,M,26.0,186.0,80.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,
86424,43817,Ramil Guliyev,M,26.0,186.0,80.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,
86433,43823,Isabelle Therese Gulldn,F,27.0,177.0,76.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,
86451,43835,Maria Loreta Gulotta,F,29.0,174.0,63.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Individual",
86452,43835,Maria Loreta Gulotta,F,29.0,174.0,63.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",
86500,43856,Francisca Arantza Gumucio Jaras,F,26.0,165.0,54.0,Chile,CHI,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,
86501,43857,Begoa Gumucio Jaras,F,24.0,169.0,62.0,Chile,CHI,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,
